336114	Той си помисли, че това може да е номер.	289416	He thought maybe this was a trick.
336115	Най-накрая, автобусът спря.	30244	At last, the bus stopped.
336116	Искам да уча в чужбина догодина.	325107	I want to study abroad next year.
336117	На 14 февруари американците празнуват Свети Валентин.	72893	On February 14 Americans celebrate St. Valentine's Day.
336118	Той би се хванал за всяка сламка.	292236	He'll clutch at any straw.
336119	Чичо ми почина от рак на стомаха вчера.	250257	My uncle died of cancer of the stomach yesterday.
336120	Господине, забравили сте си запалката на масата.	64667	Sir, you have left your lighter on the table.
336121	Тя повиши глас.	315372	She raised her voice.
336122	Разчитаме на Пати, защото тя никога не нарушава обещанията си.	248267	We rely on Patty because she never breaks her promises.
336123	Япония има много отличителни черти.	281287	Japan has many distinctive traits.
336124	Казват, че има заровено съкровище в тази област.	59605	It is said that treasure is buried in this area.
336125	Каква е тарифата от Осака до Акита?	275677	What is the fare from Osaka to Akita?
336126	Идва му отвътре да говори на френски.	34144	It comes natural to him to speak French.
336169	Често чуваме да казват, че японците са добри работници.	249143	We often hear it said that the Japanese are good workers.
336170	Бе обречен никога да не я срещне отново.	288496	He was destined never to meet her again.
336187	Той нахлу в стаята с без да сваля палтото си.	289809	He rushed into the room with his coat on.
336189	Баща ми е малко старомоден.	319278	My father is a bit old-fashioned.
336190	Моля те, внимавай повече в бъдеще.	267493	Please take more care in the future.
336192	В случай на спешност, свържете се с агента ми.	18803	In case of an emergency, get in touch with my agent.
336193	Не толкова болестта го повали, колкото мързелът.	307911	It is not his illness that ruined him so much as his idleness.
336194	Децата изглеждаха изморени от плуването.	267551	The little children looked tired from swimming.
336195	Не изпускай автобуса.	35363	Don't miss the bus.
336196	Серия от взривове превърна лабораторията в руини.	27177	A series of blasts reduced the laboratory to ruins.
336197	Той не каза нищо, което я ядоса.	294303	He said nothing, which made her angry.
336198	Стигнах до гарата, след като влакът тръгна.	326147	I only got to the station after the train had left.
336199	За съжаление не стигнах навреме за речта му.	71939	Unfortunately I was not in time for his speech.
336201	От значение е не какво четеш, а как четеш.	323851	It is not what you read but how you read that matters.
337352	Виж с ушите си.	337349	See with your ears.
337355	Танкерът има малък екипаж.	50267	The tanker has a small crew.
369308	Бизнесът ми отново се възражда.	250388	My business is picking up again.
369319	Нещо днес не се чувствам добре.	36215	I'm kind of sick today.
369346	Не ме гледай така!	49747	Don't look at me that way.
369351	Джейн е от Австралия.	53815	Jane comes from Australia.
369352	Джейн се държеше така, сякаш е богаташка.	53816	Jane always made out that she was very rich.
369353	Джейн съвсем не беше наясно кога и къде да отиде.	53817	Jane was quite at a loss when and where to go.
369358	Там няма нищо.	31585	There's nothing there.
369359	Сълзите са оръжието на децата.	282342	Tears are a child's weapon.
369361	Не мога да си позволя да прахосам и една йена.	73196	I can't afford to waste a single yen.
369362	Дори да вали, той ще играе голф.	40758	Even though it is raining, he will play golf.
369392	Моят чичо напълно се възстанови от болестта.	266651	My uncle has completely recovered from his illness.
369395	О, колко сте мил!	72137	Oh, how kind you are!
369403	Всеки има право да се радва на свободата си.	276549	Everyone has a right to enjoy his liberty.
369418	С желание всичко се постига.	1775	Where there's a will, there's a way.
369423	По това се разбира неговото невежество.	58969	This fact accounts for his ignorance.
369424	Още когато е бил млад, родителите му починали, затова го е отгледал чичо му.	265721	Because his parents had died when he was young, his uncle brought him up.
369426	Този климатик харчи много ток.	61314	This air conditioner consumes a lot of electricity.
369461	Приятелите на Том го наричат „Торба с пари“.	37346	Tom's friends called him Mr Money Bags.
369463	Може би той има много приятелки.	40595	Maybe he has lots of girlfriends.
369464	В днешно време младите не се грижат възрастните.	242473	Nowadays the young take no care of the old.
369467	Тази гледка е толкова красива, че не можеш я описа с думи.	44178	The view is beautiful beyond words.
369468	Чудесна идея ми дойде на ум.	273933	A wonderful idea occurred to me.
369472	Пред къщата има двор.	24168	There is a garden in front of the house.
369473	Колумб е вярвал, че Земята е кръгла.	54856	Columbus believed that the earth was round.
369475	Предайте домашните си!	266719	Turn in your homework.
369476	Напук на нея реших да го направя.	309643	I'm going to go through with it in spite of her opposition.
369479	Смит поиска заплатата си.	51564	Smith demanded payment.
369512	Бях си счупил очилата и не можех да виждам черната дъска.	256748	I had broken my glasses, so that I couldn't see the blackboard.
369519	Той беше ядосан, че никой нищо не каза.	276615	He resented everyone's being very quiet.
369523	Неговото изказване не беше убедително.	285596	His speech was very poor.
369528	Боб прав ли е?	33175	Is Bob right?
369547	Напълнете резервоара догоре с безоловен бензин.	322775	I'd like a full tank of regular unleaded.
369548	Това не е мое.	55625	This isn't mine.
369552	Докорът му каза да не яде между основните часове за хранене.	27942	The doctor advised him not to eat between meals.
369647	Навън светлината беше ослепителна, но вътре беше мрачно.	369623	It was as gloomy inside the mansion as the sunlight was dazzling outside.
369664	Тази страна на къщата улавя сутрешното слънце.	24195	This side of the house catches the morning sun.
369674	Имаш много приятели, които се тревожат за теб.	17512	You have many caring friends.
370039	Той никога не ми се е оплаквал от жена си.	297468	He never sees me without complaining about his wife.
370040	Ние бихме могли да изиграем по- положителна роля в борбата с глобалното затопляне.	249063	We should play a more active role in combating global warming.
370060	Не е добре да се храниш между основните яденета.	20828	It is not good to eat between meals.
370061	Тази вечер свободна ли ти е?	243208	Are you free this evening?
370068	Първо да се сдобием с продуктите.	32781	First, catch your hare, then cook him.
370071	Том и Бил достигнаха до края независимо един от друг.	37379	Tom and Bill arrived at the conclusion independently of each other.
370079	Филмът добър ли беше?	26452	Was the movie good?
370081	Станаха три години, откак той почина.	283705	He has been dead for three years.
370109	Ти трябва да преодолееш трудностите.	47824	You must overcome the difficulties.
371737	Аз обичам да ходя за риба.	371739	I like fishing.
372489	Работя като пчеличка.	240949	Work like a bee.
372490	Боб я направи своя жена.	33160	Bob made her his wife.
372492	Дайте ми и на мен мляко.	250027	Give me some milk, too.
372789	Тази кола пречи. Преместете я моля.	46860	The car is in the way. Please move it.
372818	Отсъствах от срещата.	256561	I was absent from the meeting.
372836	Тя влезе със сълзи на очи.	317190	She came in with tears in her eyes.
372840	Дадох на всеки поотделно подарък.	307704	I bought them each a present.
372866	Тук трябва ли да си събувам обувките?	61905	Do I have to take off my shoes here?
372877	Тя по-скоро е срамежлива, отколкото асоциална.	300172	She is not so much unsociable as bashful.
372879	Не съм в състояние да се справя с този проблем.	55056	These problems are beyond me.
372880	Този проблем за мен е неконтролируем.	55056	These problems are beyond me.
372881	Той е футболист.	290027	He is a soccer player.
372916	Напълно съм съгласен с твоето мнение.	321772	I agree with you absolutely.
372917	Той никога не е гледал с презрение на бедните хора.	295841	He never looks down on poor people.
373064	Всеки ден ние използваме много неща, които е открил Едисон.	322430	Every day we use many things which Edison invented.
373066	Дори да загубя работата си, ще мога да се издържам от спестяванията си.	245437	I can fall back on my savings if I lose my job.
373367	За предпочитане е той да пристигне тук до утре.	284212	It is preferable that he gets there by tomorrow.
373368	По-добре е да даваш, отколкото да взимаш.	30326	It is better to give than to take.
373370	Обяснете ми причината, поради която те отсъстват!	304985	Tell me the reason why they are absent.
375004	Заради усърдието си той успя.	295413	Diligence enabled him to succeed.
375005	Вероятно е изключение в Китай да се яде питка.	326040	The exception was in China, where flat bread was probably not eaten.
375006	От магазина до вкъщи носех тежкия багаж и си подвиквах хо-о-оп-хоп.	278994	I carried the heavy bags back from the store chanting yo-hee-ho all the way home.
375506	Освен че ще присъства на погребението, тя ще трябва да уреди и всичко останало.	315542	Besides attending the funeral, she needs to make all the arrangements.
375509	Не трябва да казваш онова нещо на родителите си.	47258	You mustn't tell that to your parents.
375512	Това е най- интерената исторая която съм чел някога.	55674	This is the most interesting story that I have ever read.
376010	Трябва да свалиш картите на масата.	265914	You should lay your cards out on the table.
376962	Тази история ме накара да се замисля върху бъдещето на Токио.	254739	That story made me think over the future of Tokyo.
377443	Това ведро е пробито.	60712	There's a hole in this bucket.
382158	Това е джобен речник.	55840	This is a pocket dictionary.
382164	Снощи написах три писма.	257832	I wrote three letters last night.
382166	Станал съм кожа и кости.	255822	I wasted away to skin and bone.
382171	Той има пълно доверие на търговците.	291009	He believed the merchant entirely.
382177	Неговата съдба е предопределена.	285549	His doom is sealed.
388872	Нямам дребни в мен.	258646	I have no small change on me.
388873	Трябва да отидеш да се подстрижеш.	282716	You should go and have your hair cut.
388874	Радвам се да те видя.	71168	I'm happy to see you.
392227	Ти чул ли си нещо за вчерашния пожар?	16116	Did you hear about the fire yesterday?
394592	Ако опиташ този сос, ще го намериш за леко солен.	329603	If you taste this sauce you'll find it a bit salty.
423232	Добрата стока сама се хвали.	423235	Good wine needs no bush.
430270	Умирам от глад!	64032	I'm starved.
432778	Ален е поет.	1530	Allen is a poet.
432816	Много благодаря!	1564	Thank you very much!
432820	Къде са яйцата, моля?	1565	Where are the eggs, please?
433087	Обичам те.	2365642	I love you!
433116	Виe говорите ли италиански език?	1590	Do you speak Italian?
433136	Часът е вече единайсет.	1618	It is already eleven.
433141	Какво искаш?	1622	What do you want?
433157	Казвам се Джак.	1646	My name is Jack.
433164	Италия е много хубава страна.	1658	Italy is a very beautiful country.
433167	Къде са душовете?	1663	Where are the showers?
433806	Много ми харесва.	1647	I like it very much.
433812	Колко е часът?	428402	What time is it?
1807243	На колко години си?	436243	How old are you?
433838	Изморен съм.	1705	I'm tired.
433847	Боли ме главата.	1712	I have a headache.
433852	Твърде е скъпо!	1719	It's too expensive!
433855	Весела Коледа!	1723	Merry Christmas!
434054	Студено е.	1813	It's cold.
434056	Жаден съм.	1814	I'm thirsty.
434057	Жадна съм.	1814	I'm thirsty.
435318	"Благодаря." "Няма защо."	2077	"Thank you." "You're welcome."
435516	Къде е тоалетната ?	2136	Where is the bathroom?
455745	Странно, нали? Трябваше вече да сме пристигнали.	455742	Odd, isn't it? We should have already arrived.
455749	Баща ми беше на път да си тръгне, когато телефонът иззвъня.	455526	My father was about to leave when the phone rang.
455751	Достатъчно, казах.	455383	Enough, I said.
455752	Като си в Рим, прави като римляните.	353189	When in Rome, do as the Romans do.
455753	Разбра ли?	455353	Got it?
455755	Ще имаш ли нещо против ако дойда с теб?	455294	Would you mind if I came along?
455757	От какво се интересуваш?	455290	What are you interested in?
455758	Тя не е лекар.	455281	She's not a doctor.
456739	Каквото и да кажеш, тя е тази за която ще се оженя.	455240	Whatever you say, she is the one I'm going to marry.
456741	Trier е най-старият град в Германия.	455149	Trier is the oldest city in Germany.
456742	Покажи ми какво имаш в джоба си.	455120	Show me what's in your pocket.
456743	Този въпрос не е лесен.	455119	This question is not easy.
456745	Нямам пералня вкъщи, затова трябва да ходя до пералното помещение да пера дрехите си.	455077	I don't have a washing machine at home, and so I have to go to the washing room in order to do the laundry.
456747	Тя има много красиво лице.	456693	She has a very pretty face.
456748	Тя не ми върна парите.	456681	She didn't give me my money back.
456749	Тя забременя.	456675	She became pregnant.
456751	Наостри молива си.	456671	Sharpen your pencil.
456752	Ще излезем ли?	456669	Shall we go out?
456753	Ще се видим скоро.	456665	See you soon.
456754	Погледни какво става навън.	456661	See what's going on outside.
456756	До после.	360558	See you later!
456757	Вдигни ръката си.	456651	Raise your hand.
456758	Прочети секцията за обяви, ако търсиш работа.	456653	Read the advertisement section if you're looking for a job.
456759	Извинете, как да стигна до центъра?	456633	Please, how can I get to the center?
456760	Моля, говорете по-бавно.	456627	Please speak more slowly.
456761	Моля, седнете.	415594	Please sit down.
456763	Моля, кажете ми, когато трябва да сляза.	456619	Please let me know when I should get off.
456764	Моля, не пипайте.	456615	Please do not touch.
456765	Моля, затворете вратата, когато излизате.	456611	Please close the door when you leave.
456767	Ако обичате, звъннете ми в 9 сутринта.	456609	Please call me at nine AM.
456768	Ако обичате, извикайте ми такси.	456607	Please call a taxi for me.
456769	Моля извикайте доктор!	456605	Please call a doctor!
456774	В Испания хората вечерят много късно.	456595	People dine very late in Spain.
456776	Извинете, говорите ли английски?	456591	Pardon me, do you speak English?
456777	Хартия за писма.	456589	She bought some paper that she could use for writing letters.
456778	Ау, кафето е много горещо!	456585	Ow, the coffee is very hot!
456779	Нашата работа никога не свършва.	456583	Our work never ends.
456780	Гостите ни седят в хола.	456581	Our visitors are sitting in the living room.
456781	Ризите ни са в един цвят, но с различни размери.	456573	Our shirts are all the same color but are all different sizes.
456782	Нашата къща е и твоя къща.	456569	Our house is your house.
456783	Хотела ни е на следващата улица.	456567	Our hotel is on the next street.
456784	Приятелството ни ще трае дълго.	456565	Our friendship will last a long time.
456786	Напротив, никога не съм казвал такова нещо.	456545	On the contrary, I've never said such a thing.
456787	Чувайки новините, тя припадна.	456543	On hearing the news, she fainted.
456788	Старите хора вървят бавно.	456539	Old people walk slowly.
456790	О, сега разбирам.	456537	Oh, now I understand.
456791	Разбира се!	433730	Of course!
456792	О, Господи. Закъснявам за уроци.	456535	Oh my gosh. I will be late for lessons.
456793	Нищо повече, благодаря.	456529	Nothing more, thanks.
456795	Не и до утре следобед.	456527	Not until tomorrow afternoon.
456797	Не много сладко.	456525	Not too sweet.
456800	Нито едно от цветята не е изкуствено.	456521	None of the flowers are plastic.
456804	Никое от децата не седи седнало.	456519	None of the children are sitting.
456807	Нито една от топките не е жълта.	456517	None of the balls are yellow.
456809	Не. Прекалено са малки.	456515	No. They are too small.
456810	Не. Искам да платя в брой.	456513	No. I want to pay in cash.
456811	Не, благодаря. Изморен съм.	456509	No, thanks. I am tired.
456813	Не, не аз. По-малкият ми брат.	456507	No, not me. It's my younger brother.
456815	Не благодаря, просто разглеждам.	66813	No, thank you. I'm just looking.
456816	В "Деня на майката" подарих на майка ми деветнадесет цветя.	456503	I gave my mother 19 flowers on Mother's Day.
456817	Банката е точно до пощата.	456501	The bank is next to the post office.
456819	Вестници се продават на павилиона.	456499	Newspapers are sold in the kiosk.
456820	Въпреки това, искам да отида.	456497	Nevertheless, I want to go there.
456822	Най-близкия полет е в 10:00.	456495	The next flight is at 10:00.
456823	Мъдрецът ме боли.	456493	My wisdom tooth hurts.
456824	Часовникът ми май изостава.	456489	My watch must be slow.
456826	Боли ме зъбът.	456485	My tooth hurts.
456827	Вратовръзката ми е оранжева.	456483	My tie is orange.
456828	Телевизора ми е счупен.	456481	My television is broken.
456830	Хората тук са добри.	454351	The people here are good.
456831	Реших да ѝ кажа, че я обичам.	454329	I decided to tell her that I love her.
456833	Стаята му е бъркотия.	454272	His room's a mess.
456834	Получих писмото ти.	64424	I received your letter.
456835	Нямаш температура.	454177	You do not have a fever.
456836	Сам го направих.	454165	I did it myself.
456837	Често прекарвам свободното си време слушайки музика.	454113	I often spend my free time listening to music.
456838	По-големият ми брат тренира джудо. Много е добър.	456459	My older brother is practicing judo. He is very good.
456839	Старата ми рокля е синя.	456457	My old dress is blue.
456840	Новата ми рокля е червена.	456455	My new dress is red.
456842	Казвам се Ноелиа, а ти?	456451	My name is Noelia, and you are?
456843	Казвам се Хенри.	456449	My name is Henry.
456844	Майка ми е учителка.	456443	My mother is a teacher.
456845	Откраднаха ми телефона.	456441	My mobile has been stolen.
456846	Фамилното ми име е Джоунс.	456431	My last name is Jones.
456847	Приятелят ми се чувства много зле.	456423	My friend feels very ill.
456849	Любимият ми отбор загуби вчера.	456421	My favorite team lost yesterday.
456850	Любимият ми танц е танго.	456419	My favorite dance is the tango.
456851	Колата ми се счупи.	456413	My car has broken down.
456853	Тя загуби дамската си чанта.	456737	She lost her purse.
456854	Тя живее в Ню Йорк.	456735	She lives in New York.
456855	Тя обича да бяга.	456733	She likes to run.
456856	Тя обича да чете.	456731	She likes to read.
456857	Остави го заради друг мъж.	456729	She left him for another man.
456858	Тя е жената, на която дадох подаръка.	456727	She is the woman to whom I gave the gift.
456860	Вчера той се разходи в парка.	289687	He walked in the park yesterday.
456879	Ще сляза от влака на следващата спирка.	395831	I'm getting off the train at the next stop.
456880	Възнамеряваш ли да вземеш участие в събранието?	16610	Are you planning to take part in the meeting?
456884	Не може да се разчита на неговите обещания.	287700	His promise cannot be relied on.
456888	Скоро ще престанеш да мислиш за нея.	32420	You will soon cease to think of her.
456892	Ако утре вали, няма да ходим.	323374	If it rains tomorrow, we'll not go there.
456896	Коя е по-дълга, река Шинано или река Агано?	268866	Which is longer, the Shinano River or the Agano River?
456899	В момента съм на летището.	257501	I'm at the airport now.
